round,test_loss,test_accuracy,train_loss,train_acc,num_clients,round_duration
151,1.4595339750941796,62.02,1.3950553363421858,83.50674753678783,16,81.75494503974915
152,1.4715461655508113,62.24,1.4376568129512306,81.80924217783536,16,67.1452260017395
153,1.46243907077403,62.47,1.38603083247332,83.49595035439634,16,76.89269399642944
154,1.4699493390095384,62.66,1.4200128751853744,82.76433263816602,16,69.97623705863953
155,1.4544178835953339,62.3,1.3893168396413411,83.27852620488181,16,83.85422706604004
156,1.471460656274723,61.91,1.4468053575532025,81.61784209844875,16,81.73296213150024
157,1.480685695817199,61.99,1.423935763323652,82.71518109838689,16,80.26418399810791
158,1.475619314592096,61.92,1.4127629325140076,82.43001885351772,16,67.57463693618774
159,1.464557712591147,62.17,1.3971536183947222,82.91123507370982,16,67.6889431476593
160,1.4569943750960916,62.81,1.3643628359150866,84.23847955352065,16,66.8693790435791
161,1.462244788302651,62.68,1.406940636400204,83.45645406207093,16,79.56972098350525
162,1.4524575260621082,63.06,1.4117692257384198,83.09664228757083,16,64.87082123756409
163,1.452165762080422,63.34,1.362960868082845,84.45103304636324,16,65.29333996772766
164,1.4369326890269412,62.97,1.376797500453164,84.2441727580094,16,81.10396575927734
165,1.4601777414732342,62.45,1.4248689679864979,83.23406011479511,16,68.00973582267761
166,1.4436282719237894,62.82,1.3569736577832117,84.77481115834615,16,79.83881998062134
167,1.4540454632119288,62.64,1.4022078391812922,83.2058868708776,16,65.86996579170227
168,1.4381875886192805,63.68,1.3865987314439163,83.44086669747432,16,68.29260897636414
169,1.4443228606936298,63.4,1.3958925394084924,84.20396134176559,16,69.14431571960449
170,1.4367519330374803,63.75,1.3567897054842197,84.48188736090384,16,68.73774290084839
171,1.4049702264085602,63.83,1.3749095895870977,84.07753775453602,16,65.46979594230652
172,1.4243968242331395,63.67,1.3502747932453807,84.83577258107968,16,77.42284202575684
